cell_id,lat,lon,lat_min,lon_min,land_frac
03795_01425,37.95,14.25,37.9,14.2,1.0
03795_01435,37.95,14.35,37.9,14.3,1.0
03795_01445,37.95,14.45,37.9,14.4,1.0
03795_01455,37.95,14.55,37.9,14.5,1.0
03795_01465,37.95,14.65,37.9,14.6,1.0
03795_01475,37.95,14.75,37.9,14.7,1.0
03795_01485,37.95,14.85,37.9,14.8,1.0
03795_01495,37.95,14.95,37.9,14.9,1.0
03795_01505,37.95,15.05,37.9,15.0,1.0
03795_01515,37.95,15.15,37.9,15.1,1.0
03795_01525,37.95,15.25,37.9,15.2,1.0
03795_01535,37.95,15.35,37.9,15.3,0.7264
03795_01565,37.95,15.65,37.9,15.6,0.1975
03795_01575,37.95,15.75,37.9,15.7,0.755
03795_01585,37.95,15.85,37.9,15.8,0.776
03795_01595,37.95,15.95,37.9,15.9,0.7702
03795_01605,37.95,16.05,37.9,16.0,0.7062
03795_01615,37.95,16.15,37.9,16.1,0.0557
03805_01255,38.05,12.55,38.0,12.5,0.4512
03805_01265,38.05,12.65,38.0,12.6,0.8442
03805_01275,38.05,12.75,38.0,12.7,0.9999
03805_01285,38.05,12.85,38.0,12.8,0.5443
03805_01295,38.05,12.95,38.0,12.9,0.3361
03805_01305,38.05,13.05,38.0,13.0,0.7557
03805_01315,38.05,13.15,38.0,13.1,1.0
03805_01325,38.05,13.25,38.0,13.2,1.0
03805_01335,38.05,13.35,38.0,13.3,1.0
03805_01345,38.05,13.45,38.0,13.4,0.9781
03805_01355,38.05,13.55,38.0,13.5,0.6358
03805_01365,38.05,13.65,38.0,13.6,0.0574
03805_01395,38.05,13.95,38.0,13.9,0.2422
03805_01405,38.05,14.05,38.0,14.0,0.2731
03805_01415,38.05,14.15,38.0,14.1,0.1925
03805_01425,38.05,14.25,38.0,14.2,0.1066
03805_01435,38.05,14.35,38.0,14.3,0.1565
03805_01445,38.05,14.45,38.0,14.4,0.3528
03805_01455,38.05,14.55,38.0,14.5,0.5202
03805_01465,38.05,14.65,38.0,14.6,0.835
03805_01475,38.05,14.75,38.0,14.7,1.0
03805_01485,38.05,14.85,38.0,14.8,1.0
03805_01495,38.05,14.95,38.0,14.9,1.0
03805_01505,38.05,15.05,38.0,15.0,1.0
03805_01515,38.05,15.15,38.0,15.1,1.0
03805_01525,38.05,15.25,38.0,15.2,1.0
03805_01535,38.05,15.35,38.0,15.3,1.0
03805_01545,38.05,15.45,38.0,15.4,0.6751
03805_01565,38.05,15.65,38.0,15.6,0.572
03805_01575,38.05,15.75,38.0,15.7,1.0
03805_01585,38.05,15.85,38.0,15.8,1.0
03805_01595,38.05,15.95,38.0,15.9,1.0
03805_01605,38.05,16.05,38.0,16.0,1.0
03805_01615,38.05,16.15,38.0,16.1,0.4517
03815_01275,38.15,12.75,38.1,12.7,0.4809
03815_01305,38.15,13.05,38.1,13.0,0.2289
03815_01315,38.15,13.15,38.1,13.1,0.8103
03815_01325,38.15,13.25,38.1,13.2,0.9089
03815_01335,38.15,13.35,38.1,13.3,0.692
03815_01475,38.15,14.75,38.1,14.7,0.499
03815_01485,38.15,14.85,38.1,14.8,0.6526
03815_01495,38.15,14.95,38.1,14.9,0.6966
03815_01505,38.15,15.05,38.1,15.0,0.3802
03815_01515,38.15,15.15,38.1,15.1,0.4465
03815_01525,38.15,15.25,38.1,15.2,0.9694
03815_01535,38.15,15.35,38.1,15.3,1.0
03815_01545,38.15,15.45,38.1,15.4,1.0
03815_01555,38.15,15.55,38.1,15.5,0.3752
03815_01565,38.15,15.65,38.1,15.6,0.5532
03815_01575,38.15,15.75,38.1,15.7,1.0
03815_01585,38.15,15.85,38.1,15.8,1.0
03815_01595,38.15,15.95,38.1,15.9,1.0
03815_01605,38.15,16.05,38.1,16.0,1.0
03815_01615,38.15,16.15,38.1,16.1,0.808
03815_01625,38.15,16.25,38.1,16.2,0.0563
03825_01335,38.25,13.35,38.2,13.3,0.0571
