cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac
037288_014488,03725_01445,37.2875,14.4875,37.275,14.475,1.0
037312_014412,03735_01445,37.3125,14.4125,37.3,14.4,1.0
037312_014438,03735_01445,37.3125,14.4375,37.3,14.425,1.0
037312_014462,03735_01445,37.3125,14.4625,37.3,14.45,1.0
037312_014488,03735_01445,37.3125,14.4875,37.3,14.475,1.0
037338_014412,03735_01445,37.3375,14.4125,37.325,14.4,1.0
037338_014438,03735_01445,37.3375,14.4375,37.325,14.425,1.0
037338_014462,03735_01445,37.3375,14.4625,37.325,14.45,1.0
037338_014488,03735_01445,37.3375,14.4875,37.325,14.475,1.0
037362_014412,03735_01445,37.3625,14.4125,37.35,14.4,1.0
037362_014438,03735_01445,37.3625,14.4375,37.35,14.425,1.0
037362_014462,03735_01445,37.3625,14.4625,37.35,14.45,1.0
037362_014488,03735_01445,37.3625,14.4875,37.35,14.475,1.0
037388_014412,03735_01445,37.3875,14.4125,37.375,14.4,1.0
037388_014438,03735_01445,37.3875,14.4375,37.375,14.425,1.0
037388_014462,03735_01445,37.3875,14.4625,37.375,14.45,1.0
037388_014488,03735_01445,37.3875,14.4875,37.375,14.475,1.0
037412_014312,03745_01435,37.4125,14.3125,37.4,14.3,1.0
037412_014338,03745_01435,37.4125,14.3375,37.4,14.325,1.0
037412_014362,03745_01435,37.4125,14.3625,37.4,14.35,1.0
037412_014388,03745_01435,37.4125,14.3875,37.4,14.375,1.0
037412_014412,03745_01445,37.4125,14.4125,37.4,14.4,1.0
037412_014438,03745_01445,37.4125,14.4375,37.4,14.425,1.0
037412_014462,03745_01445,37.4125,14.4625,37.4,14.45,1.0
037412_014488,03745_01445,37.4125,14.4875,37.4,14.475,1.0
037438_014312,03745_01435,37.4375,14.3125,37.425,14.3,1.0
037438_014338,03745_01435,37.4375,14.3375,37.425,14.325,1.0
037438_014362,03745_01435,37.4375,14.3625,37.425,14.35,1.0
037438_014388,03745_01435,37.4375,14.3875,37.425,14.375,1.0
037438_014412,03745_01445,37.4375,14.4125,37.425,14.4,1.0
037438_014438,03745_01445,37.4375,14.4375,37.425,14.425,1.0
037438_014462,03745_01445,37.4375,14.4625,37.425,14.45,1.0
037438_014488,03745_01445,37.4375,14.4875,37.425,14.475,1.0
037462_014312,03745_01435,37.4625,14.3125,37.45,14.3,1.0
037462_014338,03745_01435,37.4625,14.3375,37.45,14.325,1.0
037462_014362,03745_01435,37.4625,14.3625,37.45,14.35,1.0
037462_014388,03745_01435,37.4625,14.3875,37.45,14.375,1.0
037462_014412,03745_01445,37.4625,14.4125,37.45,14.4,1.0
037462_014438,03745_01445,37.4625,14.4375,37.45,14.425,1.0
037462_014462,03745_01445,37.4625,14.4625,37.45,14.45,1.0
037462_014488,03745_01445,37.4625,14.4875,37.45,14.475,1.0
037488_014312,03745_01435,37.4875,14.3125,37.475,14.3,1.0
037488_014338,03745_01435,37.4875,14.3375,37.475,14.325,1.0
037488_014362,03745_01435,37.4875,14.3625,37.475,14.35,1.0
037488_014388,03745_01435,37.4875,14.3875,37.475,14.375,1.0
037488_014412,03745_01445,37.4875,14.4125,37.475,14.4,1.0
037488_014438,03745_01445,37.4875,14.4375,37.475,14.425,1.0
037488_014462,03745_01445,37.4875,14.4625,37.475,14.45,1.0
037488_014488,03745_01445,37.4875,14.4875,37.475,14.475,1.0
037512_013812,03755_01385,37.5125,13.8125,37.5,13.8,1.0
037512_013838,03755_01385,37.5125,13.8375,37.5,13.825,1.0
037512_013862,03755_01385,37.5125,13.8625,37.5,13.85,1.0
037512_013888,03755_01385,37.5125,13.8875,37.5,13.875,1.0
037512_013912,03755_01395,37.5125,13.9125,37.5,13.9,1.0
037512_013938,03755_01395,37.5125,13.9375,37.5,13.925,1.0
037512_013962,03755_01395,37.5125,13.9625,37.5,13.95,1.0
037512_013988,03755_01395,37.5125,13.9875,37.5,13.975,1.0
037512_014112,03755_01415,37.5125,14.1125,37.5,14.1,1.0
037512_014138,03755_01415,37.5125,14.1375,37.5,14.125,1.0
037512_014162,03755_01415,37.5125,14.1625,37.5,14.15,1.0
037512_014188,03755_01415,37.5125,14.1875,37.5,14.175,1.0
037538_013812,03755_01385,37.5375,13.8125,37.525,13.8,1.0
037538_013838,03755_01385,37.5375,13.8375,37.525,13.825,1.0
037538_013862,03755_01385,37.5375,13.8625,37.525,13.85,1.0
037538_013888,03755_01385,37.5375,13.8875,37.525,13.875,1.0
037538_013912,03755_01395,37.5375,13.9125,37.525,13.9,1.0
037538_013938,03755_01395,37.5375,13.9375,37.525,13.925,1.0
037538_013962,03755_01395,37.5375,13.9625,37.525,13.95,1.0
037538_013988,03755_01395,37.5375,13.9875,37.525,13.975,1.0
037538_014112,03755_01415,37.5375,14.1125,37.525,14.1,1.0
037538_014138,03755_01415,37.5375,14.1375,37.525,14.125,1.0
037538_014162,03755_01415,37.5375,14.1625,37.525,14.15,1.0
037538_014188,03755_01415,37.5375,14.1875,37.525,14.175,1.0
037562_013812,03755_01385,37.5625,13.8125,37.55,13.8,1.0
037562_013838,03755_01385,37.5625,13.8375,37.55,13.825,1.0
037562_013862,03755_01385,37.5625,13.8625,37.55,13.85,1.0
037562_013888,03755_01385,37.5625,13.8875,37.55,13.875,1.0
037562_013912,03755_01395,37.5625,13.9125,37.55,13.9,1.0
037562_013938,03755_01395,37.5625,13.9375,37.55,13.925,1.0
037562_013962,03755_01395,37.5625,13.9625,37.55,13.95,1.0
037562_013988,03755_01395,37.5625,13.9875,37.55,13.975,1.0
037562_014112,03755_01415,37.5625,14.1125,37.55,14.1,1.0
037562_014138,03755_01415,37.5625,14.1375,37.55,14.125,1.0
037562_014162,03755_01415,37.5625,14.1625,37.55,14.15,1.0
037562_014188,03755_01415,37.5625,14.1875,37.55,14.175,1.0
037588_013812,03755_01385,37.5875,13.8125,37.575,13.8,1.0
037588_013838,03755_01385,37.5875,13.8375,37.575,13.825,1.0
037588_013862,03755_01385,37.5875,13.8625,37.575,13.85,1.0
037588_013888,03755_01385,37.5875,13.8875,37.575,13.875,1.0
037588_013912,03755_01395,37.5875,13.9125,37.575,13.9,1.0
037588_013938,03755_01395,37.5875,13.9375,37.575,13.925,1.0
037588_013962,03755_01395,37.5875,13.9625,37.575,13.95,1.0
037588_013988,03755_01395,37.5875,13.9875,37.575,13.975,1.0
037588_014112,03755_01415,37.5875,14.1125,37.575,14.1,1.0
037588_014138,03755_01415,37.5875,14.1375,37.575,14.125,1.0
037588_014162,03755_01415,37.5875,14.1625,37.575,14.15,1.0
037588_014188,03755_01415,37.5875,14.1875,37.575,14.175,1.0
037612_012912,03765_01295,37.6125,12.9125,37.6,12.9,1.0
037612_012938,03765_01295,37.6125,12.9375,37.6,12.925,1.0
037612_012962,03765_01295,37.6125,12.9625,37.6,12.95,1.0
037612_012988,03765_01295,37.6125,12.9875,37.6,12.975,1.0
037612_013112,03765_01315,37.6125,13.1125,37.6,13.1,1.0
037612_013138,03765_01315,37.6125,13.1375,37.6,13.125,1.0
037612_013162,03765_01315,37.6125,13.1625,37.6,13.15,1.0
037612_013188,03765_01315,37.6125,13.1875,37.6,13.175,1.0
037612_013312,03765_01335,37.6125,13.3125,37.6,13.3,1.0
037612_013338,03765_01335,37.6125,13.3375,37.6,13.325,1.0
037612_013362,03765_01335,37.6125,13.3625,37.6,13.35,1.0
037612_013388,03765_01335,37.6125,13.3875,37.6,13.375,1.0
037612_013412,03765_01345,37.6125,13.4125,37.6,13.4,1.0
037612_013438,03765_01345,37.6125,13.4375,37.6,13.425,1.0
037612_013462,03765_01345,37.6125,13.4625,37.6,13.45,1.0
037612_013488,03765_01345,37.6125,13.4875,37.6,13.475,1.0
037612_013512,03765_01355,37.6125,13.5125,37.6,13.5,1.0
037612_013538,03765_01355,37.6125,13.5375,37.6,13.525,1.0
037612_013562,03765_01355,37.6125,13.5625,37.6,13.55,1.0
037612_013588,03765_01355,37.6125,13.5875,37.6,13.575,1.0
037612_014412,03765_01445,37.6125,14.4125,37.6,14.4,1.0
037612_014438,03765_01445,37.6125,14.4375,37.6,14.425,1.0
037612_014462,03765_01445,37.6125,14.4625,37.6,14.45,1.0
037612_014488,03765_01445,37.6125,14.4875,37.6,14.475,1.0
037612_014912,03765_01495,37.6125,14.9125,37.6,14.9,1.0
037612_014938,03765_01495,37.6125,14.9375,37.6,14.925,1.0
037612_014962,03765_01495,37.6125,14.9625,37.6,14.95,1.0
037612_014988,03765_01495,37.6125,14.9875,37.6,14.975,1.0
037612_015012,03765_01505,37.6125,15.0125,37.6,15.0,1.0
037612_015038,03765_01505,37.6125,15.0375,37.6,15.025,1.0
037612_015062,03765_01505,37.6125,15.0625,37.6,15.05,1.0
037612_015088,03765_01505,37.6125,15.0875,37.6,15.075,1.0
037638_012912,03765_01295,37.6375,12.9125,37.625,12.9,1.0
037638_012938,03765_01295,37.6375,12.9375,37.625,12.925,1.0
037638_012962,03765_01295,37.6375,12.9625,37.625,12.95,1.0
037638_012988,03765_01295,37.6375,12.9875,37.625,12.975,1.0
037638_013112,03765_01315,37.6375,13.1125,37.625,13.1,1.0
037638_013138,03765_01315,37.6375,13.1375,37.625,13.125,1.0
