cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
04275_01335,42.75,13.35,14520,1073.9,390.9,2040.2,331.6,20.91,0.0,0.0632,0.271,0.3322,0.257,0.076,0.0006,0.1726,0.1559,0.0868,0.0927,0.1028,0.1032,0.1139,0.1721,0.1709,-0.0429,0.9959
04275_01345,42.75,13.45,14520,789.8,260.0,1668.7,260.8,18.59,0.0076,0.2463,0.4144,0.2665,0.0641,0.001,0.0,0.1708,0.1435,0.1399,0.1325,0.067,0.0684,0.1231,0.1548,0.1808,0.0562,0.9917
04275_01355,42.75,13.55,14520,975.6,313.1,1797.2,277.7,17.74,0.0,0.0826,0.3448,0.3653,0.1844,0.0229,0.0,0.1255,0.1134,0.0837,0.0675,0.0664,0.147,0.2287,0.1679,0.1055,-0.2481,0.9921
04275_01365,42.75,13.65,14520,647.5,224.2,1802.5,310.5,14.16,0.0274,0.588,0.197,0.1017,0.0772,0.0087,0.0,0.1269,0.2067,0.2819,0.1602,0.0609,0.0404,0.0413,0.0817,0.1304,0.4243,0.9512
04275_01375,42.75,13.75,14520,229.4,91.8,537.9,76.7,6.69,0.8293,0.1707,0.0,0.0,0.0,0.0,0.0,0.1432,0.158,0.15,0.1492,0.1306,0.0932,0.085,0.0908,0.0164,0.1529,0.8326
04275_01385,42.75,13.85,14520,149.0,23.5,380.4,62.4,6.49,0.9798,0.0202,0.0,0.0,0.0,0.0,0.0,0.1249,0.1435,0.1242,0.1251,0.1429,0.1456,0.1144,0.0794,-0.0586,0.0406,0.7902
04275_01395,42.75,13.95,14520,47.5,0.0,244.8,51.6,2.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1517,0.1778,0.1647,0.119,0.1301,0.1229,0.0639,0.0699,0.0329,0.1819,0.3479
04285_01015,42.85,10.15,14280,5.7,-0.0,406.4,29.0,0.94,0.9993,0.0007,0.0,0.0,0.0,0.0,0.0,0.4009,0.1857,0.0997,0.0408,0.0011,0.0011,0.0374,0.2333,0.6955,0.045,0.0618
04285_01025,42.85,10.25,14400,7.2,0.0,257.1,29.9,1.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414,0.2036,0.0977,0.0598,0.0533,0.1018,0.1632,0.1793,0.242,-0.0744,0.086
04285_01035,42.85,10.35,14400,20.8,-0.7,450.7,64.0,2.43,0.9835,0.0165,0.0,0.0,0.0,0.0,0.0,0.1686,0.0812,0.0949,0.0514,0.0841,0.1392,0.2117,0.169,0.1242,-0.2532,0.1676
04285_01045,42.85,10.45,14400,28.8,0.0,406.6,66.9,2.88,0.9889,0.0111,0.0,0.0,0.0,0.0,0.0,0.1183,0.1557,0.2535,0.1551,0.0875,0.051,0.0706,0.1083,0.0671,0.303,0.2301
