cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
040412_008938,40.4125,8.9375,900,765.0,702.7,880.0,36.2,5.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1565,0.2087,0.1217,0.0319,0.042,0.0826,0.1609,0.1957,0.3327,-0.0755,0.7667
040412_008962,40.4125,8.9625,930,820.3,727.4,943.1,38.9,5.25,0.0,0.0,0.9624,0.0376,0.0,0.0,0.0,0.1898,0.028,0.0049,0.0,0.056,0.2129,0.2616,0.247,0.1746,-0.5629,0.8839
040412_008988,40.4125,8.9875,870,967.9,716.8,1189.2,82.7,11.79,0.0,0.0,0.2023,0.7977,0.0,0.0,0.0,0.0711,0.007,0.0268,0.1678,0.1515,0.0909,0.2855,0.1993,-0.1072,-0.3564,0.9862
040412_009012,40.4125,9.0125,900,811.6,436.8,1252.0,218.0,18.16,0.0,0.2033,0.45,0.3233,0.0233,0.0,0.0,0.0212,0.0379,0.2461,0.4844,0.1715,0.0089,0.0145,0.0156,-0.4661,0.5948,0.9978
040412_009038,40.4125,9.0375,900,453.4,323.5,697.1,80.5,8.55,0.0,0.9444,0.0556,0.0,0.0,0.0,0.0,0.0,0.0537,0.3535,0.4038,0.1857,0.0034,0.0,0.0,-0.4496,0.6911,0.9933
040412_009062,40.4125,9.0625,900,288.7,228.2,398.1,36.4,4.19,0.6522,0.3478,0.0,0.0,0.0,0.0,0.0,0.0138,0.144,0.4426,0.2251,0.0858,0.0322,0.0352,0.0214,-0.1374,0.6508,0.7256
040412_009088,40.4125,9.0875,930,276.4,236.9,367.3,33.5,3.57,0.7548,0.2452,0.0,0.0,0.0,0.0,0.0,0.1904,0.0377,0.0,0.0105,0.0335,0.1234,0.2573,0.3473,0.3291,-0.5882,0.514
040412_009112,40.4125,9.1125,870,327.6,242.6,443.8,44.8,6.12,0.2724,0.7276,0.0,0.0,0.0,0.0,0.0,0.214,0.1411,0.2989,0.0683,0.0167,0.0258,0.0592,0.176,0.364,0.2464,0.7575
040412_009138,40.4125,9.1375,900,297.8,252.7,392.2,31.4,3.71,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.168,0.1245,0.1166,0.0257,0.0277,0.0514,0.1522,0.334,0.4054,-0.2098,0.5622
040412_009162,40.4125,9.1625,900,332.7,268.4,415.1,32.4,5.04,0.2133,0.7867,0.0,0.0,0.0,0.0,0.0,0.2134,0.1234,0.0711,0.0276,0.0929,0.0827,0.18,0.209,0.2959,-0.2162,0.7656
040412_009188,40.4125,9.1875,900,404.1,301.4,647.2,83.9,8.55,0.0,0.9422,0.0578,0.0,0.0,0.0,0.0,0.2503,0.1284,0.0532,0.0597,0.0623,0.1038,0.1089,0.2335,0.3305,-0.1711,0.8567
040412_009212,40.4125,9.2125,930,541.9,335.6,753.4,128.5,10.64,0.0,0.6247,0.3753,0.0,0.0,0.0,0.0,0.1749,0.0553,0.0271,0.0011,0.0045,0.1163,0.1975,0.4233,0.4499,-0.51,0.9527
040412_009238,40.4125,9.2375,870,604.7,395.9,758.5,113.0,10.76,0.0,0.423,0.577,0.0,0.0,0.0,0.0,0.2967,0.21,0.1074,0.011,0.0415,0.1245,0.0928,0.116,0.3962,0.0029,0.9414
040412_009262,40.4125,9.2625,900,678.4,447.9,783.8,74.4,9.45,0.0,0.1556,0.8444,0.0,0.0,0.0,0.0,0.2245,0.1568,0.0819,0.0119,0.095,0.1401,0.1746,0.1152,0.2202,-0.1574,0.9356
040412_009288,40.4125,9.2875,900,729.9,604.3,787.0,27.6,4.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1853,0.1736,0.0334,0.0451,0.177,0.177,0.0768,0.1319,0.0752,-0.1201,0.6656
040412_009312,40.4125,9.3125,900,767.5,704.5,826.0,23.8,4.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1212,0.0592,0.0433,0.1558,0.0808,0.0866,0.2843,0.1688,0.0273,-0.2758,0.77
040412_009338,40.4125,9.3375,930,821.7,720.1,909.4,39.0,5.68,0.0,0.0,0.9892,0.0108,0.0,0.0,0.0,0.2024,0.0393,0.0476,0.0667,0.1262,0.1774,0.1155,0.225,0.0891,-0.2628,0.9032
040412_009362,40.4125,9.3625,870,754.1,531.9,904.7,90.2,12.91,0.0,0.0391,0.9575,0.0034,0.0,0.0,0.0,0.0599,0.116,0.2357,0.3354,0.0848,0.0748,0.0486,0.0449,-0.2021,0.4347,0.9218
040412_009388,40.4125,9.3875,900,541.5,371.0,692.7,66.5,14.48,0.0,0.7911,0.2089,0.0,0.0,0.0,0.0,0.0148,0.217,0.2284,0.1602,0.1,0.1273,0.1455,0.0068,-0.1536,0.2622,0.9778
040412_009512,40.4125,9.5125,900,138.4,59.3,290.3,46.0,6.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238,0.0119,0.0715,0.2384,0.2768,0.1444,0.1391,0.094,-0.4649,-0.0697,0.8389
040412_009538,40.4125,9.5375,900,150.9,34.9,354.5,73.3,12.09,0.9733,0.0267,0.0,0.0,0.0,0.0,0.0,0.0131,0.0585,0.1897,0.1504,0.1432,0.1301,0.1885,0.1265,-0.2101,-0.0323,0.9311
040412_009562,40.4125,9.5625,900,176.8,27.9,426.6,105.1,10.7,0.8089,0.1911,0.0,0.0,0.0,0.0,0.0,0.0656,0.0228,0.0442,0.2276,0.2918,0.1218,0.1138,0.1124,-0.4,-0.0758,0.83
040412_009588,40.4125,9.5875,930,103.4,21.0,411.2,75.8,7.65,0.9613,0.0387,0.0,0.0,0.0,0.0,0.0,0.0525,0.1019,0.1624,0.3201,0.172,0.121,0.0637,0.0064,-0.3504,0.3121,0.6753
040412_009612,40.4125,9.6125,870,65.1,9.4,249.5,53.9,5.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0048,0.1718,0.2745,0.2291,0.2625,0.0382,0.0048,-0.6089,0.1522,0.4816
040412_009638,40.4125,9.6375,900,27.8,4.0,113.0,18.5,2.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0295,0.2194,0.2194,0.1899,0.0844,0.1983,0.0506,-0.3524,0.1162,0.2633
040412_009662,40.4125,9.6625,900,87.2,7.4,188.3,43.1,5.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0713,0.0219,0.0347,0.0987,0.1426,0.2011,0.2596,0.1836,-0.3949,0.6078
040412_009688,40.4125,9.6875,900,119.9,53.1,217.2,29.2,4.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1382,0.1327,0.1109,0.1564,0.1727,0.1273,0.1109,0.0509,-0.1113,0.0699,0.6111
040412_009712,40.4125,9.7125,930,97.5,14.6,201.9,33.1,4.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237,0.0979,0.2784,0.2294,0.1469,0.1031,0.0206,-0.445,0.1691,0.4172
040412_009738,40.4125,9.7375,870,74.6,36.5,126.2,18.9,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.2368,0.2368,0.3158,0.1316,0.0526,0.0,0.0,-0.1978,0.5955,0.0437
040412_009762,40.4125,9.7625,900,32.2,0.0,74.1,18.1,2.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1687,0.4518,0.253,0.1265,0.0,0.0,0.0,-0.1862,0.7839,0.1844
040412_015012,40.4125,15.0125,900,15.6,6.0,21.2,2.9,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040412_015038,40.4125,15.0375,900,25.6,13.0,85.6,11.7,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.8571,0.0,-0.2084,-0.9669,0.1011
040412_015062,40.4125,15.0625,900,175.4,29.7,577.4,98.0,10.48,0.8822,0.1178,0.0,0.0,0.0,0.0,0.0,0.0312,0.0058,0.0486,0.0104,0.0509,0.478,0.3183,0.0567,-0.3252,-0.6464,0.96
040412_015088,40.4125,15.0875,900,408.8,135.9,873.7,128.9,17.3,0.2011,0.7456,0.0533,0.0,0.0,0.0,0.0,0.1079,0.0697,0.0438,0.0404,0.2315,0.4011,0.0719,0.0337,-0.3663,-0.2739,0.9889
