cell_id,parent_id,lat_min,lon_min,quota_media,delta_quota,bosco_frac,northness,idoneita_ospite,macroregione
040212_015812,04025_01585,40.2,15.8,1095.5,265.2,0.76222,0.3659,0.9681,appenninico
040212_015838,04025_01585,40.2,15.825,1078.7,248.4,0.7695,0.2783,0.9411,appenninico
040212_015862,04025_01585,40.2,15.85,882.1,51.8,0.73639,0.3351,0.9369,appenninico
040212_015888,04025_01585,40.2,15.875,775.1,-55.2,0.59528,0.1948,0.9461,appenninico
040212_015912,04025_01595,40.2,15.9,918.3,123.1,0.6927,0.4075,0.9627,appenninico
040212_015938,04025_01595,40.2,15.925,1020.5,225.3,0.74533,0.3498,0.9596,appenninico
040212_015962,04025_01595,40.2,15.95,1285.3,490.1,0.61889,0.2912,0.8896,appenninico
040212_015988,04025_01595,40.2,15.975,1427.1,631.9,0.55912,0.4737,0.7267,appenninico
040212_016012,04025_01605,40.2,16.0,1177.9,461.5,0.36842,-0.0551,0.9475,appenninico
040212_016038,04025_01605,40.2,16.025,951.9,235.5,0.48986,0.0586,0.9733,appenninico
040212_016062,04025_01605,40.2,16.05,858.0,141.6,0.35135,0.333,0.9097,appenninico
040212_016087,04025_01605,40.2,16.075,775.5,59.1,0.16469,0.1701,0.9515,appenninico
040212_016112,04025_01615,40.2,16.1,564.2,-34.1,0.49239,0.0919,0.8673,mediterraneo
040212_016138,04025_01615,40.2,16.125,707.1,108.8,0.80068,0.2692,0.9197,appenninico
040212_016163,04025_01615,40.2,16.15,793.1,194.8,0.73515,0.1666,0.8983,appenninico
040212_016188,04025_01615,40.2,16.175,766.4,168.1,0.40407,0.1082,0.8932,appenninico
040212_016362,04025_01635,40.2,16.35,585.3,177.2,0.17797,-0.5634,0.8743,mediterraneo
040212_016412,04025_01645,40.2,16.4,545.8,258.6,0.34014,0.1374,0.7987,mediterraneo
040212_016438,04025_01645,40.2,16.425,335.5,48.3,0.11675,0.4231,0.7275,mediterraneo
040238_008612,04025_00865,40.225,8.6,463.6,-103.0,0.12183,0.1003,0.85,mediterraneo
040238_008638,04025_00865,40.225,8.625,554.2,-12.4,0.4662,0.3944,0.8587,mediterraneo
040238_008662,04025_00865,40.225,8.65,658.5,91.9,0.39934,0.1874,0.9074,appenninico
040238_008688,04025_00865,40.225,8.675,733.7,167.1,1.0,0.0401,0.9367,appenninico
040238_009162,04025_00915,40.225,9.15,557.5,88.1,0.3457,0.0417,0.8661,mediterraneo
040238_009188,04025_00915,40.225,9.175,712.8,243.4,0.36304,0.3051,0.8772,appenninico
040238_009212,04025_00925,40.225,9.2,725.1,102.8,0.50617,0.2146,0.9347,appenninico
040238_009238,04025_00925,40.225,9.225,628.7,6.4,0.4245,0.2165,0.8197,appenninico
040238_009412,04025_00945,40.225,9.4,694.2,99.7,0.63096,-0.1404,0.8321,appenninico
040238_009438,04025_00945,40.225,9.425,1123.0,528.5,0.14286,-0.1157,0.9453,appenninico
040238_009488,04025_00945,40.225,9.475,386.2,-208.3,0.29277,0.3747,0.7712,mediterraneo
040238_009512,04025_00955,40.225,9.5,386.7,-25.5,0.23906,-0.0566,0.7612,mediterraneo
040238_009538,04025_00955,40.225,9.525,282.1,-130.1,0.14116,0.4138,0.655,mediterraneo
040238_009562,04025_00955,40.225,9.55,568.1,155.9,0.69652,0.3778,0.8418,mediterraneo
040238_009588,04025_00955,40.225,9.575,543.5,131.3,0.44925,0.01,0.8662,mediterraneo
040238_015038,04025_01505,40.225,15.025,491.8,75.1,0.37884,-0.2528,0.8312,mediterraneo
040238_015062,04025_01505,40.225,15.05,849.5,432.8,0.83587,-0.0833,0.9559,appenninico
040238_015088,04025_01505,40.225,15.075,480.4,63.7,0.45946,0.0568,0.8179,mediterraneo
040238_015112,04025_01515,40.225,15.1,189.4,32.9,0.55272,0.2246,0.5707,mediterraneo
