cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
037138_014788,37.1375,14.7875,1.0,0.0,0.0,0.0,0.0,0.0,0.32026,0.0,612,0,0.0
037138_014812,37.1375,14.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.12662,0.0,616,0,0.0
037138_014838,37.1375,14.8375,1.0,0.0,0.08026,0.1236,0.0,0.0,0.0,0.0,623,127,0.20386
037138_014862,37.1375,14.8625,1.0,0.16913,0.0,0.00328,0.0,0.0,0.0,0.13957,609,105,0.17241
037138_014888,37.1375,14.8875,1.0,0.25645,0.06774,0.0,0.0,0.0,0.27903,0.0,620,201,0.32419
037138_014912,37.1375,14.9125,1.0,0.01299,0.23701,0.0,0.0,0.0,0.17695,0.0,616,154,0.25
037138_014938,37.1375,14.9375,1.0,0.1987,0.0,0.0,0.0,0.0,0.0,0.0,614,122,0.1987
037138_014962,37.1375,14.9625,1.0,0.25405,0.22977,0.0,0.0,0.0,0.00324,0.0,618,299,0.48382
037138_014988,37.1375,14.9875,1.0,0.19318,0.33929,0.0,0.0,0.0,0.27597,0.0,616,328,0.53247
037138_015012,37.1375,15.0125,1.0,0.22565,0.23701,0.0,0.0763,0.0,0.23214,0.0,616,285,0.46266
037138_015038,37.1375,15.0375,1.0,0.12662,0.13961,0.0,0.20455,0.0,0.02273,0.0,616,164,0.26623
037138_015062,37.1375,15.0625,1.0,0.03554,0.1567,0.0,0.02423,0.0,0.12763,0.0,619,119,0.19224
037138_015088,37.1375,15.0875,1.0,0.0,0.03284,0.0,0.0,0.0,0.49425,0.0,609,20,0.03284
037162_014412,37.1625,14.4125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614,0,0.0
037162_014438,37.1625,14.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0,0.0
037162_014462,37.1625,14.4625,1.0,0.0,0.0,0.0,0.0,0.0,0.02606,0.02117,614,0,0.0
037162_014488,37.1625,14.4875,1.0,0.06341,0.0,0.28943,0.0,0.0,0.06667,0.01138,615,217,0.35284
037162_014512,37.1625,14.5125,1.0,0.25,0.0,0.02419,0.0,0.0,0.00161,0.0,620,170,0.27419
037162_014538,37.1625,14.5375,1.0,0.13681,0.0,0.13355,0.0,0.0,0.01629,0.0,614,166,0.27036
037162_014562,37.1625,14.5625,1.0,0.21626,0.0,0.0,0.0,0.0,0.0,0.0,615,133,0.21626
037162_014588,37.1625,14.5875,1.0,0.01939,0.0,0.0,0.0,0.0,0.0,0.0,619,12,0.01939
037162_014712,37.1625,14.7125,1.0,0.0,0.0,0.0,0.0,0.0,0.31818,0.0,616,0,0.0
037162_014738,37.1625,14.7375,1.0,0.0,0.0,0.0,0.0,0.0,0.42811,0.0,619,0,0.0
037162_014762,37.1625,14.7625,1.0,0.0,0.0,0.0,0.0,0.0,0.07843,0.0,612,0,0.0
037162_014788,37.1625,14.7875,1.0,0.0,0.0,0.0,0.19548,0.0,0.21486,0.0,619,0,0.0
037162_014812,37.1625,14.8125,1.0,0.0,0.0,0.0,0.00969,0.0,0.39903,0.0,619,0,0.0
037162_014838,37.1625,14.8375,1.0,0.22496,0.04269,0.0,0.0,0.0,0.06404,0.02956,609,163,0.26765
037162_014862,37.1625,14.8625,1.0,0.13666,0.0,0.0,0.0,0.0,0.38585,0.19614,622,85,0.13666
037162_014888,37.1625,14.8875,1.0,0.11545,0.0,0.0,0.0,0.0,0.32033,0.0,615,71,0.11545
037162_014912,37.1625,14.9125,1.0,0.00326,0.28339,0.0,0.0,0.0,0.27687,0.0,614,176,0.28665
037162_014938,37.1625,14.9375,1.0,0.0,0.07754,0.0,0.0,0.0,0.0,0.0,619,48,0.07754
037162_014962,37.1625,14.9625,1.0,0.0,0.08293,0.0,0.0,0.0,0.00813,0.0,615,51,0.08293
037162_014988,37.1625,14.9875,1.0,0.0,0.2813,0.0,0.07642,0.0,0.00976,0.0,615,173,0.2813
037162_015012,37.1625,15.0125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,0,0.0
037162_015038,37.1625,15.0375,1.0,0.0,0.0,0.0,0.01454,0.0,0.0,0.0,619,0,0.0
037162_015062,37.1625,15.0625,1.0,0.0,0.0,0.0,0.03607,0.0,0.20656,0.0,610,0,0.0
037162_015088,37.1625,15.0875,1.0,0.0,0.05466,0.0,0.01125,0.0,0.21704,0.0,622,34,0.05466
037188_014412,37.1875,14.4125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,0,0.0
037188_014438,37.1875,14.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.08824,0.0,612,0,0.0
037188_014462,37.1875,14.4625,1.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,619,0,0.0
037188_014488,37.1875,14.4875,1.0,0.0,0.0,0.0,0.0,0.0,0.08766,0.0,616,0,0.0
037188_014512,37.1875,14.5125,1.0,0.0,0.0,0.0,0.0,0.0,0.12561,0.0,613,0,0.0
037188_014538,37.1875,14.5375,1.0,0.0,0.0,0.0,0.0,0.0,0.04545,0.0,616,0,0.0
037188_014562,37.1875,14.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,0,0.0
037188_014588,37.1875,14.5875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,0,0.0
037188_014712,37.1875,14.7125,1.0,0.40194,0.0,0.0,0.0,0.0,0.0859,0.0,617,248,0.40194
037188_014738,37.1875,14.7375,1.0,0.02782,0.0,0.0,0.0,0.0,0.0,0.0,611,17,0.02782
037188_014762,37.1875,14.7625,1.0,0.03865,0.0,0.0,0.02899,0.0,0.0,0.0,621,24,0.03865
037188_014788,37.1875,14.7875,1.0,0.33279,0.0,0.0522,0.23165,0.0,0.0,0.0,613,236,0.38499
037188_014812,37.1875,14.8125,1.0,0.31209,0.0,0.0,0.30392,0.0,0.05719,0.0,612,191,0.31209
037188_014838,37.1875,14.8375,1.0,0.29421,0.0,0.0,0.24759,0.0,0.24598,0.0,622,183,0.29421
037188_014862,37.1875,14.8625,1.0,0.63666,0.0,0.0,0.19149,0.0,0.02455,0.0802,611,389,0.63666
037188_014888,37.1875,14.8875,1.0,0.63695,0.0,0.0,0.0,0.0,0.0,0.0,617,393,0.63695
037188_014912,37.1875,14.9125,1.0,0.18963,0.0,0.0,0.0,0.0,0.37925,0.0,617,117,0.18963
037188_014938,37.1875,14.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.14169,0.0,614,0,0.0
037188_014962,37.1875,14.9625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,0,0.0
037188_014988,37.1875,14.9875,1.0,0.0,0.08766,0.0,0.0,0.0,0.03247,0.0,616,54,0.08766
037188_015012,37.1875,15.0125,1.0,0.0,0.0534,0.0,0.0,0.0,0.24272,0.0,618,33,0.0534
037188_015038,37.1875,15.0375,1.0,0.01148,0.0,0.0,0.44098,0.0,0.00656,0.0,610,7,0.01148
037188_015062,37.1875,15.0625,1.0,0.01768,0.0,0.0,0.6254,0.0,0.16399,0.0,622,11,0.01768
037188_015088,37.1875,15.0875,1.0,0.0,0.0,0.0,0.3366,0.0,0.27941,0.0,612,0,0.0
037212_014212,37.2125,14.2125,1.0,0.0,0.0,0.0,0.491,0.0,0.0,0.0,611,0,0.0
037212_014238,37.2125,14.2375,1.0,0.05212,0.0,0.0,0.0,0.0,0.0,0.0,614,32,0.05212
037212_014262,37.2125,14.2625,1.0,0.49518,0.0,0.0,0.0,0.0,0.06752,0.0,622,308,0.49518
037212_014288,37.2125,14.2875,1.0,0.45677,0.0,0.0,0.0,0.0,0.2186,0.14356,613,280,0.45677
