cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
03765_01265,37.65,12.65,0.9215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9797,0,0.0
03765_01275,37.65,12.75,1.0,0.00827,0.00827,0.0,0.0,0.0,0.0,0.0,9792,162,0.01654
03765_01285,37.65,12.85,1.0,0.0,0.00306,0.0,0.0,0.0,0.00317,0.0,9792,30,0.00306
03765_01295,37.65,12.95,1.0,0.0,0.12689,0.0,0.0,0.0,0.00949,0.0,9796,1243,0.12689
03765_01305,37.65,13.05,1.0,0.0,0.04553,0.0,0.0,0.0,0.0096,0.0,9795,446,0.04553
03765_01315,37.65,13.15,1.0,0.05399,0.27026,0.0,0.04787,0.0,0.03848,0.0,9798,3177,0.32425
03765_01325,37.65,13.25,1.0,0.04677,0.0243,0.0,0.01746,0.0,0.1161,0.0,9793,696,0.07107
03765_01335,37.65,13.35,1.0,0.18707,0.06045,0.02441,0.01716,0.0,0.21597,0.01879,9793,2663,0.27193
03765_01345,37.65,13.45,1.0,0.02755,0.08521,0.0,0.00367,0.0,0.08001,0.00265,9799,1105,0.11276
03765_01355,37.65,13.55,1.0,0.02797,0.28808,0.01592,0.0,0.0,0.05125,0.00868,9796,3252,0.33197
03765_01365,37.65,13.65,1.0,0.01716,0.06526,0.0,0.00347,0.0,0.0143,0.0,9791,807,0.08242
03765_01375,37.65,13.75,1.0,0.02001,0.00776,0.0,0.0,0.0,0.01582,0.0,9796,272,0.02777
03765_01385,37.65,13.85,1.0,0.0,0.00357,0.00398,0.0,0.0,0.02951,0.0,9794,74,0.00755
03765_01395,37.65,13.95,1.0,0.0,0.0,0.0,0.0532,0.0,0.0342,0.0,9794,0,0.0
03765_01405,37.65,14.05,1.0,0.01113,0.0,0.0,0.02103,0.0,0.02644,0.0,9796,109,0.01113
03765_01415,37.65,14.15,1.0,0.00255,0.0,0.0,0.05237,0.0,0.0488,0.0,9795,25,0.00255
03765_01425,37.65,14.25,1.0,0.00408,0.0297,0.02072,0.00908,0.0,0.07931,0.00286,9797,534,0.0545
03765_01435,37.65,14.35,1.0,0.03819,0.01715,0.01215,0.00878,0.0,0.03482,0.0002,9794,661,0.06749
